,index,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),Target,setosa,versicolor,virginica
0,72,6.3,2.5,4.9,1.5,versicolor,0.0,0.83,0.17
1,98,5.1,2.5,3.0,1.1,versicolor,0.0,1.0,0.0
2,116,6.5,3.0,5.5,1.8,virginica,0.0,0.0,1.0
3,64,5.6,2.9,3.6,1.3,versicolor,0.0,1.0,0.0
4,130,7.4,2.8,6.1,1.9,virginica,0.0,0.0,1.0
5,43,5.0,3.5,1.6,0.6,setosa,1.0,0.0,0.0
6,20,5.4,3.4,1.7,0.2,setosa,1.0,0.0,0.0
7,35,5.0,3.2,1.2,0.2,setosa,1.0,0.0,0.0
8,144,6.7,3.3,5.7,2.5,virginica,0.0,0.0,1.0
9,70,5.9,3.2,4.8,1.8,versicolor,0.0,0.71,0.29
10,66,5.6,3.0,4.5,1.5,versicolor,0.0,1.0,0.0
11,93,5.0,2.3,3.3,1.0,versicolor,0.0,0.99,0.01
12,145,6.7,3.0,5.2,2.3,virginica,0.0,0.0,1.0
13,108,6.7,2.5,5.8,1.8,virginica,0.0,0.0,1.0
14,51,6.4,3.2,4.5,1.5,versicolor,0.0,1.0,0.0
15,60,5.0,2.0,3.5,1.0,versicolor,0.0,0.99,0.01
16,25,5.0,3.0,1.6,0.2,setosa,1.0,0.0,0.0
17,76,6.8,2.8,4.8,1.4,versicolor,0.0,0.91,0.09
18,120,6.9,3.2,5.7,2.3,virginica,0.0,0.0,1.0
19,94,5.6,2.7,4.2,1.3,versicolor,0.0,1.0,0.0
20,59,5.2,2.7,3.9,1.4,versicolor,0.01,0.99,0.0
21,148,6.2,3.4,5.4,2.3,virginica,0.0,0.0,1.0
22,131,7.9,3.8,6.4,2.0,virginica,0.0,0.0,1.0
23,146,6.3,2.5,5.0,1.9,virginica,0.0,0.01,0.99
24,5,5.4,3.9,1.7,0.4,setosa,1.0,0.0,0.0
25,117,7.7,3.8,6.7,2.2,virginica,0.0,0.0,1.0
26,13,4.3,3.0,1.1,0.1,setosa,1.0,0.0,0.0
27,52,6.9,3.1,4.9,1.5,versicolor,0.0,0.84,0.16
28,113,5.7,2.5,5.0,2.0,virginica,0.0,0.03,0.97
29,17,5.1,3.5,1.4,0.3,setosa,1.0,0.0,0.0
30,112,6.8,3.0,5.5,2.1,virginica,0.0,0.0,1.0
31,68,6.2,2.2,4.5,1.5,versicolor,0.0,0.93,0.07
32,123,6.3,2.7,4.9,1.8,virginica,0.0,0.08,0.92
33,69,5.6,2.5,3.9,1.1,versicolor,0.0,1.0,0.0
34,49,5.0,3.3,1.4,0.2,setosa,1.0,0.0,0.0
35,95,5.7,3.0,4.2,1.2,versicolor,0.0,1.0,0.0
36,110,6.5,3.2,5.1,2.0,virginica,0.0,0.0,1.0
37,56,6.3,3.3,4.7,1.6,versicolor,0.0,0.94,0.06
