,JoiningYear,PaymentTier,Age,ExperienceInCurrentDomain,Education_Bachelors,Education_Masters,Education_PHD,City_Bangalore,City_New Delhi,City_Pune,Gender_Female,Gender_Male,EverBenched_No,EverBenched_Yes
0,2017,3,34,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
1,2013,1,28,3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
2,2014,3,38,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3,2016,3,27,5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
4,2017,3,24,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
5,2016,3,22,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
6,2015,3,38,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
7,2016,3,34,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
8,2016,3,23,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
9,2017,2,37,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
10,2012,3,27,5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
11,2016,3,34,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
12,2018,3,32,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
13,2016,3,39,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
14,2012,3,37,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
15,2017,1,29,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
16,2014,3,34,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
17,2014,3,34,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
18,2015,2,30,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
19,2016,2,22,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
20,2012,3,37,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
